"owis","site"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/01VI","http://www.parkschool.pcboamersfoort.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/01VJ","http://www.ettyhillesumlyceum.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/01VN","http://www.canisiuscollege.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/01VQ","http://www.debeekvliet.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/01VR","http://www.montessorinwk.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/01VU","http://www.windesheim.nl/"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/01VY","http://www.delingewaard.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/01WM","http://www.burgharmsmaschool.nl/"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/01WQ","http://www.noorderbasis.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/01WU","http://www.vbs-deregenboog.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/01WX","http://www.heliomare.nl/hoe-kunnen-we-u-helpen/onderwijs"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/01XF","http://www.willemblaeu.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/01XH","http://www.obsdeammers.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/01XL","http://www.strabrecht.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/01XN","http://www.almerecollege.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/01XT","http://www.debalanssbo.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/01XU","http://www.hildegaert.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/01ZA","http://www.dewisseltiel.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/02AC","http://www.emmaschool-amersfoort.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/02AN","http://www.fonsvitae.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/02AP","http://www.amsterdamslyceum.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/02AR","http://www.hlz.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/02BJ","http://www.sbo-aquamarijn.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/02BY","http://www.rietveldacademie.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/02CI","http://www.insulacollege.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/02CK","http://www.desprienke.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/02CO","http://www.sbodewegwijzer.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/02CP","http://www.dewingerdnunspeet.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/02CQ","http://www.sbodevlinderboom.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/02CR","http://www.wlg.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/02DC","http://www.corlaercollege.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/02DE","http://www.nldata.nl/bernardusschool"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/02DF","http://www.grotius.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/02DO","http://www.noordik.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/02DQ","http://www.gymnasium-sorghvliet.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/02DW","http://www.bernrode.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/02DZ","http://www.stanislascollege.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/02EA","http://www.driestarcollege.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/02EB","http://www.csvincentvangogh.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/02EH","http://www.dezeearend.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/02EJ","http://www.leidse-buitenschool.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/02EK","http://www.piusx.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/02EP","http://www.renn4.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/02EV","http://www.wdz.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/02EX","http://www.landstede.nl/voortgezetonderwijs"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/02EY","http://www.hoenderloo-groep.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/02FB","http://www.ccnv.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/02FC","http://www.ulenhof.nl/"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/02FI","http://www.diamant.pcpow.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/02FO","http://www.pro.demeerwaarde.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/02FY","http://www.sgboz.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/02GA","http://www.koetsveldschool.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/02GD","http://www.ocr.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/02GF","http://www.frencken-college.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/02GJ","http://www.depopulier.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/02GM","http://www.danieldebrouwerschool.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/02GN","http://www.kennemerlyceum.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/02GP","http://www.rijnlandslyceumwassenaar.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/02GS","http://www.rml.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/02HI","http://www.steenspil.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/02IC","http://www.edudelta.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/02JG","http://www.emelwerda.nl/"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/02KB","http://www.teylingen-college.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/02KM","http://www.haarlemcollege.nl"
