ONDERWIJSSECTOR,JAAR,BRIN_NUMMER,INSTELLINGSNAAM,MAATWERKAFSPRAAK_FORMATIE_OP_LA,MAATWERKAFSPRAAK_FORMATIE_OP_LB,MAATWERKAFSPRAAK_FORMATIE_OP_LC,MAATWERKAFSPRAAK_FORMATIE_OP_LD,MAATWERKAFSPRAAK_FORMATIE_OP_LE,MAATWERKAFSPRAAK_FORMATIE_OP_OVERIG,DATUM_MAATWERKAFSPRAAK,TOELICHTING_MAATWERKAFSPRAAK
3,2014,"21GW","Bonaventuracollege",0,30,46,24,0,0,2014-09-29,""
3,2014,"21GZ","Kwadrant Scholengroep",0,41,34,25,0,0,2014-06-05,""
3,2014,"21KM","SPO Het Atrium",0,41,42,17,0,0,2015-01-29,""
3,2014,"21SK","Mondial College",0,54,26,20,0,0,2014-10-09,""
3,2014,"21WE","Kaj Munk College",0,33,36,31,0,0,2014-05-20,""
3,2014,"22NE","College De Heemlanden",0,20,44,36,0,0,2015-06-23,""
3,2014,"23EJ","T Genseler",0,45,55,0,0,0,2014-10-07,""
3,2014,"23FY","Bossche Vakschool",0,49,40,11,0,0,2014-12-11,""
3,2014,"23HH","Praktijkonderwijs Roermond",0,76,24,0,0,0,2015-04-22,""
3,2014,"23VL","SGM Pieter Zandt",0,54,29,17,0,0,2014-10-08,""
